id,N_standard_address
1,洪文六里37号502室
2,洪莲东二里54号<8068>莲前街道万景社区|莲前街道|501室
3,云顶中路731号(6021)莲前莲顺社区\莲前\503室
4,莲前西路怡富花园一、二期258#401室
5,莲前西路益友花园98$401室
6,洪文村洪文五里75号\3545\莲前洪文村洪文社区|莲前|103室
7,金鸡亭花圆小区15號C702室
8,70一布家园178号401之1室
9,宝龙国际中心办公楼801室泰康人寿
10,西林西里12号106室
11,益辉花园36号3o2室
12,西林东里45号707室
13,瑞景新村126号402室
14,侨文里28号202室
15,店上东里81号<7894>莲前街道前埔南社区||莲前街道||603室
16,文兴东二里1号1梯602
17,文兴东二里1号1梯602室
18,古兴里3号楼1703
19,前埔一里前埔北一里110$404室
20,云亭花园354号401室
21,龙山桥莲坂军休所138号201室
22,西林村西林西二里17号<7778>莲前街道|莲怡社区|莲前街道|302室
23,洪文村洪文六里4号<9248>莲前街道|莲翔社区|莲前街道|401室
24,前埔一里225号前埔北-307室
25,瑞景新村116号702室
26,洪文六里云景花园135$602室
27,东浦三里21号(6137)莲前龙山桥社区\\莲前\\402室
28,前埔东一里华林东盛花园3#202室
29,洪文六里厦航洪文小区(洪文六里)68#401室
30,64明发楼161号204室
31,洪文村洪文二里112号<3354>莲前街道瑞景社区||莲前街道||202室
32,前埔六里6号莲翔-2002室
33,洪文五里4-1号
34,莲前东路-707号前埔北-903室
35,西林社14-102号
36,西林东里39号606室
37,19厦航洪文小区--?(洪文六里)34号201室
38,前埔二里158号前埔北-401室
39,前埔二里216号806室
40,前埔二里224号前埔北-101室
41,89前埔北区|二里191号601室
42,思明前埔一里204号\7148\莲前思明前埔北社区|莲前|315室
43,思明前埔五里213号(7281)莲前莲薇社区\\莲前\\1102室
44,店上东里63号前埔南-206室
45,莲前东路-800#莲薇社区604室
46,前埔五里200号602室
47,莲前西路741号(6745)莲前莲顺社区\\莲前\\601室
48,思明区金鸡亭小区38号楼
49,42前埔北一 里 160号304
50,前埔一里154号前埔北-408室
51,洪莲里102号侨福-301室
52,前埔一里-115号前埔北社区103室
53,洪文一里23号瑞景社区702室
54,福满山庄621号104室
55,瑞景新村35号602室
56,莲前西路-803号莲顺社区1402室
57,洪文一里78号瑞景-701室
58,洪莲里12号
59,莲前东路21号嘉盛豪园房产中心
60,洪文一里69号瑞景-201室
61,洪莲西里55号804室
62,东山社83号201室
63,店上西里44-1号
64,西林西二里金磊花园31$102室
65,西林西二里金沙花园31$102室
66,东坪山社2号102室
67,东浦三里庐山公寓19$301室
68,53侨福城小区一二三期297号201室
69,文兴东二里14号602室
70,洪莲路益辉花园80$402室
71,思明区前埔南区店上西里16号903
72,前埔二里222号前埔北社区|405室
73,前埔一里前埔北一里152$303室
74,西林村西林东里145号<0558>莲前街道|莲云社区||莲前街道||601室
75,云顶中路民盛安置房719$602室
76,莲前西路东芳花园739#101室
77,前埔一里前埔北一里221#408室
78,文兴东一里前埔南区文兴东一二里24#706室
79,前埔一里前埔北一里85#606室
80,前埔二里前埔北区二里202$106室
81,洪文一里瑞景生活广场139#702室
82,东浦路龙山桥部队小区202#601室
83,56怡富花园一、二期214号102室
84,店上东里前埔南小区(店上东西里)68$102室
85,洪文23洪莲西里138号502室
86,洪文六里136号301室
87,洪莲东二里万科·金域蓝湾一期北区3|1601室
88,前埔北一 里 165号208
89,东浦路平潭驻厦办258#101室
90,洪莲里116-3号
91,洪文六里69号莲翔-106室
92,西林社67-4号208室
93,莲前东路834号(1817)莲前莲薇社区\\莲前\\C120室
94,前埔南区古兴里2号301室
95,店上东里11号\432\莲前思明前埔南社区|莲前|702室
96,店上西里12号前埔南/302室
97,金尚路12号<5191>莲前街道|莲顺社区||莲前街道||601室
98,洪文村洪文二里115号(2478)莲前街道瑞景社区||莲前街道||201室
99,洪莲里110号<5975>莲前街道侨福社区|莲前街道|601室
100,洪莲里97号903室
101,思明前埔东一里7号<5009>莲前街道前埔北社区|莲前街道|302室
102,洪莲里58号莲丰社区201|
103,洪文一里70号202室
104,莲前西路218号(1443)莲前莲怡社区\\莲前\\402室
105,83香榭园云顶花园152号601室
106,古楼北里13号(4451)莲前思明前埔南社区\\莲前\\701室
107,洪文村洪文二里111号(1171)莲前瑞景社区\\莲前\\102室
108,莲前西路怡富花园一、二期298#602室
109,西林西里142-4号
110,莲前东路66号平安银行瑞景支行
111,洪文一里瑞景新村13#502室
112,洪文一里-137号瑞景/701室
113,广顺花园697-201
114,店上东里87号(6234)莲前思明前埔南社区\\莲前\\603室
115,西林东路-305号莲云-602室
116,店上西里46号(4633)莲前思明前埔南社区\\莲前\\602室
117,前埔东一里3号1501室
118,前埔二里213号前埔北-203室
119,洪莲里67-1号
120,西林西里易地办安置房160$701室
121,东浦路166号(5494)莲前龙山桥社区\莲前\802室
122,西林西二里15号101室
123,西林西二里20号莲怡-301室
124,洪文村洪文六里20号<6052>莲前街道|莲翔社区|莲前街道|302室
125,店上西里43号308室
126,古楼北里28号504
127,古楼南里21号<8062>莲前街道前埔南社区||莲前街道||403室
128,前埔一里202号前埔北社区|502室
129,店上东里56号601室
130,西林东路-145号莲云社区|303室
131,瑞景新村56号202
132,前埔五里华林绿景花园164#601室
133,42嘉盛豪园27号702室
134,店上东里102号前埔南社区|604室
135,香榭圆云顶花圆156號702室
136,前埔二里46#前埔北社区502室
137,洪文一里4号瑞景-202室
138,店上东里店上东西里小区74|206室
139,12瑞景公园8号1002室
140,文兴东三里21号前埔南社区|403室
141,洪文一里瑞景新村6#601室
142,华瑞花园57号201室
143,福满山庄109号702
