序号,非标地址,对应标准地址
1,68庐山公寓25号704室,福建省厦门市思明区东浦三里25号704室
2,63厦航洪文小区/(洪文六 里 )3号1003,福建省厦门市思明区洪文六里3号1003室
3,72水警鼓疗海军工程处139 号、603 室号、,福建省厦门市思明区西林东路139号603室
4,都市新巢小区615-114-1号店面,福建省厦门市思明区洪莲中路615-114-1号
5,59怡富花园一、二期216号C104室,福建省厦门市思明区莲前西路216号C104室
6,思明前埔二里216号<8075>莲前街道前埔北社区|莲前街道|1005室,福建省厦门市思明区前埔二里216号1005室
7,思明前埔五里161号<2807>莲前街道|莲薇社区|莲前街道|201室,福建省厦门市思明区前埔五里161号201室
8,20金鸡亭花园小区/37号614,福建省厦门市思明区西林东里37号614室
9,莲前东路-818号莲薇-204室,福建省厦门市思明区莲前东路818号204室
10,54前埔南小区(店上东西里)36号 105室,福建省厦门市思明区店上东里36号105室
11,店上东里前埔南小区(店上东西里)29$702室,福建省厦门市思明区店上东里29号702室
12,古楼北里72号(753)莲前思明前埔南社区\\莲前\\607室,福建省厦门市思明区古楼北里72号607室
13,前埔北一 里 110号603,福建省厦门市思明区前埔一里110号603室
14,50云亭花园348号601,福建省厦门市思明区莲前西路348-1号601室
15,店上东里前埔南小区(店上东西里)79$703室,福建省厦门市思明区店上东里79号703室
16,洪文村洪文五里2号\4909\莲前瑞景社区|莲前|301室,福建省厦门市思明区洪文五里2号301室
17,64金鸡亭花园小区28号404室,福建省厦门市思明区西林西里28号404室
18,69金鸡亭花园小区----3号104室,福建省厦门市思明区西林西里3号104室
19,文兴东三里21号503室,福建省厦门市思明区文兴东三里21号503室
20,店上东里74号前埔南-106室,福建省厦门市思明区店上东里74号106室
21,莲前西路怡富花园一、二期240$502室,福建省厦门市思明区莲前西路240号502室
22,文兴东二里34号<2204>莲前街道前埔南社区|莲前街道|103室,福建省厦门市思明区文兴东二里34号103室
23,3龙山桥部队小区、196号203室,福建省厦门市思明区东浦路196号203室
24,莲前西路727号(6477)莲前莲顺社区|莲前|1102室,福建省厦门市思明区莲前西路727号1102室
25,54永裕侨建闽联云顶岩299号102室,福建省厦门市思明区西林东路299号102室
26,前埔北区二 里 178 号、413 室号、,福建省厦门市思明区前埔二里178号413室
27,西林西里金鸡亭花园小区118$301室,福建省厦门市思明区西林西里118号301室
28,洪莲西里洪山柄北区71#502室,福建省厦门市思明区洪莲西里71号502室
29,美疆商贸公司（2楼）,福建省厦门市思明区莲前西路336-10号
30,洪文七里瑞景公园9$1802室,福建省厦门市思明区洪文七里9号1802室
31,文兴东二里50号向阳坊门口,福建省厦门市思明区文兴东二里50号
32,文兴东二里72号香港周六福,福建省厦门市思明区文兴东二里72号
33,洪莲里86号(2223)莲前侨福社区\莲前\201室,福建省厦门市思明区洪莲里86号201室
34,西林路14号A幢502室,福建省厦门市思明区西林路14号502室
35,思明前埔东一里32号(6265)莲前思明前埔北社区\莲前\702室,福建省厦门市思明区前埔东一里32号702室
36,洪文五里文兴社76$704室,福建省厦门市思明区洪文五里76号704室
37,莲前西路广顺花园687$201室,福建省厦门市思明区莲前西路687-1-1号201室
38,西林东路永裕侨建闽联云顶岩208#101室,福建省厦门市思明区西林东路208-1号101室
39,莲前西路216号<8189>莲前街道|莲怡社区||莲前街道||C102室,福建省厦门市思明区莲前西路216号C102室
40,洪莲里60号莲丰社区C110/,福建省厦门市思明区洪莲里60号C110室
41,东山社244号,福建省厦门市思明区东山社244号
42,东浦路164号701室,福建省厦门市思明区东浦路164号701室
43,洪文五里华瑞花园9$201室,福建省厦门市思明区洪文五里9号201室
44,洪文一里瑞景新村118|302室,福建省厦门市思明区洪文一里118号302室
45,前埔北/一里58号502室,福建省厦门市思明区前埔一里58号502室
46,莲前西路云亭花园324|801室,福建省厦门市思明区莲前西路324号801室
47,43店上东西里小区。6号106室,福建省厦门市思明区店上东里6号106室
48,联丰新城9号楼1601,福建省厦门市思明区洪莲路9号1601室
49,洪文二里瑞景生活广场111$501室,福建省厦门市思明区洪文二里111号501室
50,90龙山桥莲坂军休所156号502室,福建省厦门市思明区莲前西路156号502室
51,51店上东西里小区25号201室,福建省厦门市思明区店上东里25号201室
52,古楼北里69号前埔南-503室,福建省厦门市思明区古楼北里69号503室
53,文兴东二里37号前埔南-704室,福建省厦门市思明区文兴东二里37号704室
54,店上东里店上东西里小区63#106室,福建省厦门市思明区店上东里63号106室
55,96怡富花园一、二期22o号4o2室,福建省厦门市思明区莲前西路220号402室
56,东浦三里24号202室,福建省厦门市思明区东浦三里24号202室
57,古楼北里27号206室,福建省厦门市思明区古楼北里27号206室
58,莲前东路华林紫微小区792#402室,福建省厦门市思明区莲前东路792号402室
59,西林西里金鸡亭花园小区122$602室,福建省厦门市思明区西林西里122号602室
60,前埔一里前埔北一里55#107室,福建省厦门市思明区前埔一里55号107室
61,65瑞景新村127号，102室,福建省厦门市思明区洪文一里127号102室
62,洪文一里瑞景新村16#702室,福建省厦门市思明区洪文一里16号702室
63,73金鸡亭花园小区１１３号５０３室,福建省厦门市思明区西林西里113号503室
64,莲前西路-719号莲顺社区|402室,福建省厦门市思明区莲前西路719号402室
65,加州建材广场B栋1102,福建省厦门市思明区云顶中路515号
66,店上东里17号201室,福建省厦门市思明区店上东里17号201室
67,西林西二里金磊花园30|702室,福建省厦门市思明区西林西二里30号702室
68,洪文六里潘宅南小区187#402室,福建省厦门市思明区洪文六里187号402室
69,洪莲路益辉花园96#501室,福建省厦门市思明区洪莲路96号501室
70,莲前洪文松树公寓A栋314室,福建省厦门市思明区洪莲西二路1462号314室
71,莲前西路-611号莲顺社区302-1室,福建省厦门市思明区莲前西路611号302-1室
72,西林西里140-6号,福建省厦门市思明区西林西里140-6号
73,西林东里153-14号,福建省厦门市思明区西林东里153-14号
74,西林社125-1号401室,福建省厦门市思明区西林社125-1号401室
75,西林东里56号金鸡亭/C608室,福建省厦门市思明区西林东里56号C608室
76,西林西里29号金鸡亭社区C601|,福建省厦门市思明区西林西里29号C601室
77,东浦路182号(1238)莲前龙山桥社区\\莲前\\C110室,福建省厦门市思明区东浦路182号C110室
78,洪莲中路-20-101号莲丰/201室,福建省厦门市思明区洪莲中路20-101号201室
79,西林西里35号金鸡亭社区|103室,福建省厦门市思明区西林西里35号103室
80,龙山桥莲坂军休所152号，502室,福建省厦门市思明区莲前西路152号502室
81,莲前西路-729号莲顺-502室,福建省厦门市思明区莲前西路729号502室
82,前埔一里184号前埔北/404室,福建省厦门市思明区前埔一里184号404室
83,店上东里61号\7405\莲前思明前埔南社区|莲前|401室,福建省厦门市思明区店上东里61号401室
84,洪文一里10号瑞景-502室,福建省厦门市思明区洪文一里10号502室
85,前埔五里155号莲薇社区302室,福建省厦门市思明区前埔五里155号302室
86,莲前东路762号(1723)莲前莲薇社区\\莲前\\106室,福建省厦门市思明区莲前东路762号106室
87,洪文八里116号莲翔-302室,福建省厦门市思明区洪文八里116号302室
88,64华林紫微小区790号403室,福建省厦门市思明区莲前东路790号403室
